UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root        1124       1    2539  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    2552  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    7432  0   22 09:24 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    7479  0   22 09:24 ?        00:00:01 /snap/snapd/current/usr/lib/snapd/snapd
root        1128       1    1128  0    4 09:19 ?        00:00:00 /usr/libexec/accounts-daemon
root        1128       1    1195  0    4 09:19 ?        00:00:00 /usr/libexec/accounts-daemon
root        1128       1    1196  0    4 09:19 ?        00:00:01 /usr/libexec/accounts-daemon
root        1128       1    1198  0    4 09:19 ?        00:00:00 /usr/libexec/accounts-daemon
root        1130       1    1130  0    1 09:19 ?        00:00:00 /usr/sbin/cron -f -P
root        1132       1    1132  0    4 09:19 ?        00:00:00 /usr/libexec/switcheroo-control
root        1132       1    1164  0    4 09:19 ?        00:00:00 /usr/libexec/switcheroo-control
root        1132       1    1167  0    4 09:19 ?        00:00:00 /usr/libexec/switcheroo-control
root        1132       1    1183  0    4 09:19 ?        00:00:00 /usr/libexec/switcheroo-control
root        1138       1    1138  0    1 09:19 ?        00:00:01 /usr/lib/systemd/systemd-logind
root        1139       1    1139  0    5 09:19 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1139       1    1190  0    5 09:19 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1139       1    1191  0    5 09:19 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1139       1    1193  0    5 09:19 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1139       1    1411  0    5 09:19 ?        00:00:05 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1140       1    1140  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1140       1    1173  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1140       1    1174  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1140       1    1182  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1140       1    1300  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1140       1    1334  0    6 09:19 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1141       1    1141  0   57 09:19 ?        00:00:35 /bin/warp-svc
root        1141       1    1234  0   57 09:19 ?        00:01:09 /bin/warp-svc
root        1141       1    1235  0   57 09:19 ?        00:00:41 /bin/warp-svc
root        1141       1    1236  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1237  0   57 09:19 ?        00:00:30 /bin/warp-svc
root        1141       1    1238  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1239  0   57 09:19 ?        00:00:54 /bin/warp-svc
root        1141       1    1241  0   57 09:19 ?        00:00:32 /bin/warp-svc
root        1141       1    1242  0   57 09:19 ?        00:00:08 /bin/warp-svc
root        1141       1    1243  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1244  0   57 09:19 ?        00:01:04 /bin/warp-svc
root        1141       1    1245  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1246  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1247  0   57 09:19 ?        00:01:03 /bin/warp-svc
root        1141       1    1249  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1251  0   57 09:19 ?        00:01:01 /bin/warp-svc
root        1141       1    1253  0   57 09:19 ?        00:00:06 /bin/warp-svc
root        1141       1    1254  0   57 09:19 ?        00:00:34 /bin/warp-svc
root        1141       1    1255  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1263  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1269  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1280  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1285  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1286  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1287  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1292  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1294  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1301  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1306  0   57 09:19 ?        00:00:00 /bin/warp-svc
root        1141       1    1307  0   57 09:19 ?        00:00:00 /bin/warp-svc
